city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Naranja,Naranja,FL,Florida,12086,Miami-Dade,25.5164,-80.4222,13261,3416.8,shape,FALSE,FALSE,America/New_York,2,33032,1840014246
Orange City,Orange City,FL,Florida,12127,Volusia,28.9348,-81.2881,13254,654.7,shape,FALSE,TRUE,America/New_York,3,32763 32774,1840015075
Kings Park West,Kings Park West,VA,Virginia,51059,Fairfax,38.8151,-77.296,13254,1730.6,shape,FALSE,TRUE,America/New_York,3,22032,1840041769
Steamboat Springs,Steamboat Springs,CO,Colorado,8107,Routt,40.4777,-106.8243,13251,517.4,shape,FALSE,TRUE,America/Denver,3,80487,1840021374
Trophy Club,Trophy Club,TX,Texas,48121,Denton,33.004,-97.1899,13251,1284.5,shape,FALSE,TRUE,America/Chicago,3,76262,1840022993
New Kingman-Butler,New Kingman-Butler,AZ,Arizona,4015,Mohave,35.2645,-114.0091,13247,1029,shape,FALSE,TRUE,America/Phoenix,3,86409,1840037118
Loveland,Loveland,OH,Ohio,39061,Hamilton,39.2677,-84.2733,13247,1023.5,shape,FALSE,TRUE,America/New_York,3,45140,1840003809
Cornelius,Cornelius,OR,Oregon,41067,Washington,45.5188,-123.051,13245,2186.4,shape,FALSE,TRUE,America/Los_Angeles,2,97113,1840018557
Moody,Moody,AL,Alabama,1115,St. Clair,33.5986,-86.4963,13235,208.3,shape,FALSE,TRUE,America/Chicago,3,35094 35173 35004 35120,1840014770
Glendale,Glendale,WI,Wisconsin,55079,Milwaukee,43.1287,-87.9277,13227,885.9,shape,FALSE,TRUE,America/Chicago,3,53209 53217 53212,1840003037
Orangeburg,Orangeburg,SC,South Carolina,45075,Orangeburg,33.4928,-80.8671,13220,566.4,shape,FALSE,TRUE,America/New_York,3,29118 29117 29115,1840014812
Palos Verdes Estates,Palos Verdes Estates,CA,California,6037,Los Angeles,33.7872,-118.3973,13219,1068.7,shape,FALSE,TRUE,America/Los_Angeles,3,90274,1840020503
Dorado,Dorado,PR,Puerto Rico,72051,Dorado,18.4657,-66.2726,13208,1613.5,shape,FALSE,FALSE,America/Puerto_Rico,3,646,1630023736
Las Vegas,Las Vegas,NM,New Mexico,35047,San Miguel,35.6011,-105.2206,13194,590.8,shape,FALSE,TRUE,America/Denver,3,87701,1840020397
Cheval,Cheval,FL,Florida,12057,Hillsborough,28.1459,-82.5184,13189,855.7,shape,FALSE,FALSE,America/New_York,3,33558,1840028977
Carpinteria,Carpinteria,CA,California,6083,Santa Barbara,34.3962,-119.5118,13187,1967,shape,FALSE,TRUE,America/Los_Angeles,3,93013 93014,1840019187
Portland,Portland,TN,Tennessee,47165,Sumner,36.5921,-86.5239,13177,343.7,shape,FALSE,TRUE,America/Chicago,3,37148,1840014418
Weddington,Weddington,NC,North Carolina,37179,Union,35.0228,-80.7383,13173,290.2,shape,FALSE,TRUE,America/New_York,3,28104 28173,1840016459
Newton,Newton,NC,North Carolina,37035,Catawba,35.663,-81.2335,13173,368.7,shape,FALSE,TRUE,America/New_York,3,28658,1840014523
Ridgefield Park,Ridgefield Park,NJ,New Jersey,34003,Bergen,40.8543,-74.0201,13161,2980.8,shape,FALSE,TRUE,America/New_York,2,7660,1840000898
Harrison,Harrison,AR,Arkansas,5009,Boone,36.2438,-93.1198,13154,456.5,shape,FALSE,TRUE,America/Chicago,3,72601 72602,1840013327
Pell City,Pell City,AL,Alabama,1115,St. Clair,33.561,-86.2669,13148,203,shape,FALSE,TRUE,America/Chicago,3,35125 35128,1840014771
Superior,Superior,CO,Colorado,8013,Boulder,39.934,-105.1588,13146,1290.4,shape,FALSE,TRUE,America/Denver,3,80027,1840022425
Sharon,Sharon,PA,Pennsylvania,42085,Mercer,41.234,-80.4998,13143,1345.3,shape,FALSE,TRUE,America/New_York,3,16146,1840003441
Trenton,Trenton,OH,Ohio,39017,Butler,39.4792,-84.462,13133,1047,shape,FALSE,TRUE,America/New_York,3,45067,1840003805
South Daytona,South Daytona,FL,Florida,12127,Volusia,29.1657,-81.0055,13132,1369.9,shape,FALSE,TRUE,America/New_York,3,32119,1840015950
Chino Valley,Chino Valley,AZ,Arizona,4025,Yavapai,34.7594,-112.412,13120,81.1,shape,FALSE,TRUE,America/Phoenix,3,86323,1840022753
Dover,Dover,OH,Ohio,39157,Tuscarawas,40.5304,-81.4806,13118,874.1,shape,FALSE,TRUE,America/New_York,3,44622,1840007217
Grand Terrace,Grand Terrace,CA,California,6071,San Bernardino,34.0312,-117.3132,13104,1436,shape,FALSE,TRUE,America/Los_Angeles,3,92313,1840020403
Mounds View,Mounds View,MN,Minnesota,27123,Ramsey,45.1071,-93.2076,13100,1246.8,shape,FALSE,TRUE,America/Chicago,3,55112,1840007840
Lake Los Angeles,Lake Los Angeles,CA,California,6037,Los Angeles,34.6097,-117.8339,13097,519.1,shape,FALSE,FALSE,America/Los_Angeles,3,93535 93591,1840017922
La Grande,La Grande,OR,Oregon,41061,Union,45.3242,-118.0865,13097,1103.6,shape,FALSE,TRUE,America/Los_Angeles,3,97850,1840019924
North Palm Beach,North Palm Beach,FL,Florida,12099,Palm Beach,26.8217,-80.0576,13092,1548.3,shape,FALSE,TRUE,America/New_York,3,33408,1840018307
Soddy-Daisy,Soddy-Daisy,TN,Tennessee,47065,Hamilton,35.2571,-85.1739,13091,218.1,shape,FALSE,TRUE,America/New_York,3,37343 37379 37384,1840035990
Stoughton,Stoughton,WI,Wisconsin,55025,Dane,42.9237,-89.2225,13091,839.3,shape,FALSE,TRUE,America/Chicago,3,53589,1840002901
Harrison,Harrison,OH,Ohio,39061,Hamilton,39.2584,-84.7868,13086,946,shape,FALSE,TRUE,America/New_York,3,45030,1840007381
Ionia,Ionia,MI,Michigan,26067,Ionia,42.9773,-85.0727,13081,933.3,shape,FALSE,TRUE,America/Detroit,3,48846,1840003075
Oatfield,Oatfield,OR,Oregon,41005,Clackamas,45.4125,-122.594,13073,1486.8,shape,FALSE,FALSE,America/Los_Angeles,3,97222 97267,1840034837
Cherry Hill Mall,Cherry Hill Mall,NJ,New Jersey,34007,Camden,39.9384,-75.0117,13070,1383.6,shape,FALSE,FALSE,America/New_York,3,08002 08034,1840033469
West Carrollton,West Carrollton,OH,Ohio,39113,Montgomery,39.6701,-84.2542,13060,784.4,shape,FALSE,TRUE,America/New_York,3,45449 45342,1840059955
Cambridge,Cambridge,MD,Maryland,24019,Dorchester,38.5515,-76.0787,13058,473.5,shape,FALSE,TRUE,America/New_York,3,21613,1840006165
Norwalk,Norwalk,IA,Iowa,19181,Warren,41.4895,-93.6913,13057,436.3,shape,FALSE,TRUE,America/Chicago,3,50211 50061,1840008213
On Top of the World Designated Place,On Top of the World Designated Place,FL,Florida,12083,Marion,29.1058,-82.2866,13056,288,shape,FALSE,FALSE,America/New_York,3,34432 34481,1840142109
Bedford,Bedford,OH,Ohio,39035,Cuyahoga,41.3919,-81.536,13043,942.8,shape,FALSE,TRUE,America/New_York,3,44146,1840003396
Hawaiian Paradise Park,Hawaiian Paradise Park,HI,Hawaii,15001,Hawaii,19.5828,-154.9695,13041,329.1,shape,FALSE,FALSE,Pacific/Honolulu,3,96749,1840029582
Fernandina Beach,Fernandina Beach,FL,Florida,12089,Nassau,30.6571,-81.4511,13028,425.1,shape,FALSE,TRUE,America/New_York,3,32034 32035,1840013929
Claremont,Claremont,NH,New Hampshire,33019,Sullivan,43.379,-72.3368,13018,116.5,shape,FALSE,TRUE,America/New_York,3,3743,1840002805
Forrest City,Forrest City,AR,Arkansas,5123,St. Francis,35.0135,-90.7931,13010,248.1,shape,FALSE,TRUE,America/Chicago,3,72335 72336,1840013522
Montgomeryville,Montgomeryville,PA,Pennsylvania,42091,Montgomery,40.2502,-75.2405,13008,1056.2,shape,FALSE,FALSE,America/New_York,3,18936 19446 19454,1840005457
Webb City,Webb City,MO,Missouri,29097,Jasper,37.1412,-94.4676,13002,580.9,shape,FALSE,TRUE,America/Chicago,3,64870,1840010878
Timberlake,Timberlake,VA,Virginia,51031,Campbell,37.3167,-79.2481,12999,445.9,shape,FALSE,FALSE,America/New_York,3,24551 24550 24502,1840006437
Jennings,Jennings,MO,Missouri,29189,St. Louis,38.7231,-90.2644,12996,1344.1,shape,FALSE,TRUE,America/Chicago,3,63136,1840008596
Miami,Miami,OK,Oklahoma,40115,Ottawa,36.8878,-94.8711,12995,452.2,shape,FALSE,TRUE,America/Chicago,3,74354 74355,1840020346
Waconia,Waconia,MN,Minnesota,27019,Carver,44.8422,-93.7896,12993,904.7,shape,FALSE,TRUE,America/Chicago,3,55387,1840010008
Ridge,Ridge,NY,New York,36103,Suffolk,40.9068,-72.8816,12987,380.1,shape,FALSE,FALSE,America/New_York,3,11961,1840005068
West Monroe,West Monroe,LA,Louisiana,22073,Ouachita,32.512,-92.1513,12987,624.8,shape,FALSE,TRUE,America/Chicago,3,71291 71292 71294,1840015795
Green Valley,Green Valley,MD,Maryland,24021,Frederick,39.3414,-77.24,12980,293.2,shape,FALSE,FALSE,America/New_York,3,21770 21771 21754,1840133409
Rochester,Rochester,MI,Michigan,26125,Oakland,42.6866,-83.1198,12978,1308,shape,FALSE,TRUE,America/Detroit,3,48307 48308,1840002428
Larkspur,Larkspur,CA,California,6041,Marin,37.9393,-122.5312,12969,1669.6,shape,FALSE,TRUE,America/Los_Angeles,3,94939 94904 94977,1840020261
Troy,Troy,MO,Missouri,29113,Lincoln,38.9708,-90.9714,12964,648.4,shape,FALSE,TRUE,America/Chicago,3,63379,1840010689
Vinings,Vinings,GA,Georgia,13067,Cobb,33.8608,-84.4686,12947,1599,shape,FALSE,FALSE,America/New_York,3,30339,1840013687
Solana Beach,Solana Beach,CA,California,6073,San Diego,32.9943,-117.2574,12946,1464.2,shape,FALSE,TRUE,America/Los_Angeles,3,92075 92014,1840021993
Grantsville,Grantsville,UT,Utah,49045,Tooele,40.6148,-112.4777,12939,125.4,shape,FALSE,TRUE,America/Denver,3,84029,1840020146
North Adams,North Adams,MA,Massachusetts,25003,Berkshire,42.6844,-73.1166,12937,245.5,shape,FALSE,TRUE,America/New_York,3,1247,1840000423
Newcastle,Newcastle,WA,Washington,53033,King,47.5304,-122.1633,12931,1125.7,shape,FALSE,TRUE,America/Los_Angeles,3,98059 98056,1840019831
Meadville,Meadville,PA,Pennsylvania,42039,Crawford,41.6476,-80.1468,12929,1144.4,shape,FALSE,TRUE,America/New_York,3,16335 16388,1840000558
Byram,Byram,MS,Mississippi,28049,Hinds,32.189,-90.2861,12922,244.5,shape,FALSE,TRUE,America/Chicago,3,39272 39212,1840023049
D'Iberville,D'Iberville,MS,Mississippi,28047,Harrison,30.4709,-88.9011,12922,472.3,shape,FALSE,TRUE,America/Chicago,3,39540,1840015023
Holly Hill,Holly Hill,FL,Florida,12127,Volusia,29.2442,-81.0465,12919,1259.1,shape,FALSE,TRUE,America/New_York,3,32117 32125,1840015078
St. Ann,St. Ann,MO,Missouri,29189,St. Louis,38.7266,-90.3872,12917,1580.7,shape,FALSE,TRUE,America/Chicago,3,63074,1840009771
Lahaina,Lahaina,HI,Hawaii,15009,Maui,20.8848,-156.6618,12906,640.8,shape,FALSE,FALSE,Pacific/Honolulu,3,96761,1840023234
Fostoria,Fostoria,OH,Ohio,39147,Seneca,41.16,-83.4121,12904,657.8,shape,FALSE,TRUE,America/New_York,3,44830,1840000820
Dardenne Prairie,Dardenne Prairie,MO,Missouri,29183,St. Charles,38.7565,-90.7319,12903,936.8,shape,FALSE,TRUE,America/Chicago,3,63368,1840007428
El Dorado,El Dorado,KS,Kansas,20015,Butler,37.821,-96.8613,12882,542.4,shape,FALSE,TRUE,America/Chicago,3,67042,1840001676
Athens,Athens,TX,Texas,48213,Henderson,32.2041,-95.8321,12878,278.8,shape,FALSE,TRUE,America/Chicago,3,75751 75752,1840019500
Suamico,Suamico,WI,Wisconsin,55009,Brown,44.6354,-88.0683,12878,136.8,shape,FALSE,TRUE,America/Chicago,3,54173 54313,1840000309
Mountain Home,Mountain Home,AR,Arkansas,5005,Baxter,36.3351,-92.384,12876,415.2,shape,FALSE,TRUE,America/Chicago,3,72653 72654,1840014452
Harrison,Harrison,WI,Wisconsin,55015,Calumet,44.1935,-88.2941,12872,155.8,shape,FALSE,TRUE,America/Chicago,3,54952 54169 54130 54915 54129,1840038103
Smyrna,Smyrna,DE,Delaware,10001,Kent,39.2935,-75.6083,12870,795.9,shape,FALSE,TRUE,America/New_York,3,19977,1840005820
